route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
TEC:BW:1,TEC,1,Jodoigne - Louvain-la-Neuve - Ottignies (Express),,3,,
TEC:BW:10,TEC,10,Navette de La Hulpe,,3,,
TEC:BW:11,TEC,11,Ottignies - Axis Parc - Einstein - Fleming,,3,,
TEC:BW:114,TEC,114,Braine-l'Alleud - Hal,,3,,
TEC:BW:115,TEC,115,Braine-l'Alleud - Tubize,,3,,
TEC:BW:116,TEC,116,Soignies - Br.-le-Comte - Rebecq - Tubize - Hal,,3,,
TEC:BW:12,TEC,C,Louvain-La-Neuve - Wavre - Ixelles (Express),,3,,
TEC:BW:121,TEC,121,Alsemberg - Argenteuil Berlaymont,,3,,
TEC:BW:122,TEC,122,Rhode-St-Genèse - Waterloo - Argenteuil Berlaymont,,3,,
TEC:BW:123,TEC,123,"Bruxelles, Midi - Argenteuil Berlaymont",,3,,
TEC:BW:124,TEC,124,"Uccle, Héros - Argenteuil Berlaymont",,3,,
TEC:BW:125,TEC,125,Wavre - Argenteuil Berlaymont,,3,,
TEC:BW:126,TEC,126,Lasne - Argenteuil Berlaymont,,3,,
TEC:BW:127,TEC,127,La Hulpe - Argenteuil Berlaymont,,3,,
TEC:BW:128,TEC,128,Rosières - Argenteuil Berlaymont,,3,,
TEC:BW:129,TEC,129,Braine-l'Alleud - Argenteuil Berlaymont,,3,,
TEC:BW:13,TEC,Cbis,Louvain-La-Neuve - Wavre - Woluwé (Express),,3,,
TEC:BW:14,TEC,14,Navette de Rixensart,,3,,
TEC:BW:148,TEC,148,Gembloux - Ramillies - Landen,,3,,
TEC:BW:15,TEC,15,Navette de Genval,,3,,
TEC:BW:16,TEC,16,Nivelles - Zoning Sud,,3,,
TEC:BW:17,TEC,17,Ottignies - Clinique- Petit-Ry,,3,,
TEC:BW:18,TEC,18,Louvain- Hamme-Mille - Jodoigne,,3,,
TEC:BW:19,TEC,19,Nivelles - Ottignies,,3,,
TEC:BW:2,TEC,2,Tubize - Nivelles,,3,,
TEC:BW:20,TEC,20,Ottignies - Louvain-la-Neuve - Wavre,,3,,
TEC:BW:200,TEC,200,Proxibus Rebecq,,3,,
TEC:BW:201,TEC,201,Proxibus Waterloo,,3,,
TEC:BW:202,TEC,202,Proxibus Perwez,,3,,
TEC:BW:203,TEC,203,Proxibus Braine-l'Alleud,,3,,
TEC:BW:204,TEC,204,Proxibus Grez-Doiceau,,3,,
TEC:BW:205,TEC,205,Proxibus Inter C.M.L.,,3,,
TEC:BW:21,TEC,21,Louvain-la-Neuve - Dion-Le-Mont,,3,,
TEC:BW:210,TEC,210,Proxibus La Hulpe,,3,,
TEC:BW:22,TEC,22,Ottignies - Wavre - Zoning Nord,,3,,
TEC:BW:23,TEC,23,Jodoigne - Wavre,,3,,
TEC:BW:24,TEC,24,Wavre - Corbais - Nil - Chastre,,3,,
TEC:BW:25,TEC,25,Jodoigne - Gembloux,,3,,
TEC:BW:26,TEC,26,Jodoigne - Ezemaal,,3,,
TEC:BW:27,TEC,27,Gembloux - Chastre - Marbais,,3,,
TEC:BW:28,TEC,28,Genappe - Tangissart - Ottignies,,3,,
TEC:BW:29,TEC,29,Lasne - Céroux-Mousty - Ottignies,,3,,
TEC:BW:3,TEC,3,Waterloo - Braine-l'Alleud - Ottignies - LLN,,3,,
TEC:BW:30,TEC,30,Nil - Chastre - Court-St-Etienne - Ottignies,,3,,
TEC:BW:30M,TEC,M,Services de Marché,,3,,
TEC:BW:31,TEC,31,Ottignies - Louvain-la-Neuve - Bruyères,,3,,
TEC:BW:314,TEC,C3,Wavre - Auderghem (Express),,3,,
TEC:BW:32,TEC,32,Hamme-Mille - Wavre,,3,,
TEC:BW:33,TEC,33,Eghezée - Perwez - Louvain-la-Neuve - Ottignies,,3,,
TEC:BW:339,TEC,339,Hannut - Tirlemont,,3,,
TEC:BW:34,TEC,34,Chastre - Walhain - Mont-Saint-Guibert - LLN,,3,,
TEC:BW:35,TEC,35,Grez-Doiceau - Jodoigne,,3,,
TEC:BW:36,TEC,36,Braine-l'Alleud - Wavre,,3,,
TEC:BW:366,TEC,366,Court-Saint-Etienne - Rixensart - Ixelles,,3,,
TEC:BW:37,TEC,37,Wavre Gare - Bierges Verseau,,3,,
TEC:BW:38,TEC,38,Rosières - Genval - Wavre - Basse-Wavre,,3,,
TEC:BW:4,TEC,4,Nivelles - Louvain-la-Neuve (Express),,3,,
TEC:BW:40,TEC,40,Braine-l'Alleud - Alsemberg - Uccle,,3,,
TEC:BW:43,TEC,43,Tubize - Ittre Prison - Ittre Croiseau,,3,,
TEC:BW:47,TEC,47,Tubize - Virginal - Ittre Croiseau,,3,,
TEC:BW:471,TEC,471,Sint-Pieters-Kapelle - Enghien - Hal,,3,,
TEC:BW:472,TEC,472,Enghien - Tubize,,3,,
TEC:BW:5,TEC,5,Jodoigne - Tirlemont,,3,,
TEC:BW:536,TEC,W,Bruxelles - Waterloo - Braine-l'Alleud,,3,,
TEC:BW:543,TEC,E,Eghezée - Wavre - Bruxelles,,3,,
TEC:BW:568,TEC,568,Nivelles - Marbais - Fleurus,,3,,
TEC:BW:57,TEC,57,Braine-l'Alleud - La Hulpe,,3,,
TEC:BW:58,TEC,58,Braine-l'Alleud - Genval,,3,,
TEC:BW:6,TEC,6,Mille - Hamme-Mille - Grez - Louvain-la-Neuve,,3,,
TEC:BW:610,TEC,610,Hannut - Jodoigne,,3,,
TEC:BW:63,TEC,63,Nivelles - Ronquières - Braine-le-Comte,,3,,
TEC:BW:65,TEC,65,Braine-le-Comte - B.S.I.- Braine-l'Alleud/Nivelles,,3,,
TEC:BW:66,TEC,66,Nivelles - Braine-l'Alleud,,3,,
TEC:BW:67,TEC,67,Braine-l'Alleud - Barrière - Parc de l'Alliance,,3,,
TEC:BW:69,TEC,69,Nivelles - Braine-le-Château,,3,,
TEC:BW:70,TEC,70,Nivelles - Rosseignies - Buzet,,3,,
TEC:BW:71,TEC,71,Manage/Nivelles - Soignies,,3,,
TEC:BW:72,TEC,72,Baulers - Nivelles - Manage,,3,,
TEC:BW:73,TEC,73,Nivelles - Rêves - Fleurus,,3,,
TEC:BW:74,TEC,74,Nivelles - Feluy,,3,,
TEC:BW:75,TEC,75,Braine-l'Alleud - Chenois - Waterloo,,3,,
TEC:BW:76,TEC,76,Nivelles - Portes de l'Europe,,3,,
TEC:BW:77,TEC,77,Baulers - Nivelles Gare - Shopping,,3,,
TEC:CH:1,TEC,1,MONTIGNIES Place - CHARLEROI Sud - GBBomerée,,3,f172ac,ffffff
TEC:CH:108,TEC,108,BEAUMONT - PHILIPPEVILLE,,3,,
TEC:CH:109a,TEC,109a,CHARLEROI- BEAUMONT-CHIMAY,,3,,
TEC:CH:109d,TEC,109d,CHARLEROI - CHIMAY - MOMIGNIES (Direct),,3,,
TEC:CH:11,TEC,11,JUMET MADELEINE-RANSART-GILLY-MONT/S/SAMBRE PLACE,,3,ff0000,ffffff
TEC:CH:119,TEC,119,BIERCEE-RAGNIES- BEAUMONT,,3,,
TEC:CH:12,TEC,12,GILLY CIMETIERE - LOVERVAL I.M.T.R.,,3,f58220,ffffff
TEC:CH:129,TEC,129,CHIMAY - MONS,,3,,
TEC:CH:12b,TEC,12b,JUMET HAMENDES - MONTIGNIES-SUR-SAMBRE PLACE,,3,,
TEC:CH:13,TEC,13,PRESLES Cité Solaire- CHARLEROI Sud,,3,,
TEC:CH:132c,TEC,132c,WALCOURT-FROIDCHAPELLE-CHIMAY,,3,,
TEC:CH:136d,TEC,136d,CHIMAY - CERFONTAINE,,3,,
TEC:CH:14,TEC,14,CHARLEROI Sud-BOUFFIOULX-GILLY Gazomètre,,3,f58220,ffffff
TEC:CH:154,TEC,154,CHARLEROI Beaux-Arts-ROSELIES-FARCIENNES-CHATELET,,3,716b9f,ffffff
TEC:CH:155,TEC,155,GILLY-CHATELET-TAMINES-VELAINE-CHATELET,,3,ffdc01,000000
TEC:CH:156,TEC,156,CHATELET-VELAINE-TAMINES-CHATELET-GILLY,,3,ffdc01,000000
TEC:CH:156a,TEC,156a, CHIMAY-MOMIGNIES,,3,,
TEC:CH:158,TEC,158,CHATELET-FARCIENNES-ROSELIES-CHARLEROI Beaux-Arts,,3,716b9f,ffffff
TEC:CH:163,TEC,163,FLEURUS-RANSART-GOSSELIES,,3,,
TEC:CH:17,TEC,17,FLEURUS-WANF.-BAULET- GILLY - CHATELET,,3,ff0000,ffffff
TEC:CH:170,TEC,170,CHARLEROI Sud-JAMIOULX-HAM SUR HEURE-Vésale,,3,,
TEC:CH:172,TEC,172,CHATELETJustice-MARCHIENNE AU PONT De Cartier,,3,8400a8,ffffff
TEC:CH:173,TEC,173,PIETON-FONTAINE-LANDELIES-CHARLEROI Sud,,3,965335,ffffff
TEC:CH:18,TEC,18,JUMET Dépôt-CHARLEROI Sud-CHATELET Chavepeyer,,3,,
TEC:CH:19,TEC,19,GERPINNES - NALINNES - CHARLEROI,,3,bfd62f,000000
TEC:CH:192,TEC,192,NALINNES-GOZEE-THUIN,,3,,
TEC:CH:194,TEC,194,THUIN-RAGNIES-BIERCEE-THUIN,,3,,
TEC:CH:20,TEC,20,GERPINNES - IMTR - CHARLEROI,,3,,
TEC:CH:21,TEC,21,MARCINELLE Hublinbu - CHARLEROI Sud,,3,bfd62f,000000
TEC:CH:25,TEC,25,CHARLEROI Sud - GILLY Soleilmont,,3,ffdc01,000000
TEC:CH:28,TEC,28,CHATELINEAU SNCB -  JUMET MADELEINE,,3,00baf1,ffffff
TEC:CH:29,TEC,29,CHATELINEAU SNCB -  GOSSELIES ATHENEE,,3,,
TEC:CH:3,TEC,3,MONTIGNIES Pl.-CHARLEROI Sud-JAMIOULX Prison,,3,f172ac,ffffff
TEC:CH:35,TEC,35,CHARLEROI Sud - FARCIENNES L'Ysle Marais,,3,,
TEC:CH:365a,TEC,365a,BRUXELLES-CHARLEROI,,3,494793,ffffff
TEC:CH:366,TEC,366,BAISY-THY - GENAPPE - REVES,,3,,
TEC:CH:41,TEC,41,CHARLEROI-COURCELLES-GOSSELIES-JUMET MADELEINE,,3,ffdc01,000000
TEC:CH:43,TEC,43,SUD- MONCEAU-TRAZEGNIES-COURCELLES-SUD,,3,,
TEC:CH:50,TEC,50,CHARLEROI BEAUX-ARTS - LUTTRE SNCB,,3,ffdc01,000000
TEC:CH:51,TEC,51,LUTTRE SNCB - MONCEAU/S/SAMBRE MOULIN,,3,ffdc01,000000
TEC:CH:52,TEC,52,CHARLEROI SUD - NALINNES - GOURDINNE,,3,f58220,ffffff
TEC:CH:53,TEC,53,SOUVRET FORRIERE - CHARLEROI BEAUX-ARTS,,3,,
TEC:CH:60,TEC,60,JUMET MADELEINE - VILLERS-PERWIN TROIS TILLEULS,,3,,
TEC:CH:61,TEC,61,JUMET MADELEINE - TRAZEGNIES SENTIER MADAME,,3,,
TEC:CH:62,TEC,62,SOLEILMONT - MADELEINE,,3,8400a8,ffffff
