stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
TEC:Baegd741,Gerompont Avenue des Déportés 74,50.651934,4.890264,0,stoparea:TEC:Baegd74,,1,,
TEC:Baegd742,Gerompont Avenue des Déportés 74,50.651979,4.890095,0,stoparea:TEC:Baegd74,,1,,
TEC:Baegegl1,Autre-Eglise Eglise,50.66308,4.923698,0,stoparea:TEC:Baegegl,,1,,
TEC:Baegegl2,Autre-Eglise Eglise,50.663152,4.923614,0,stoparea:TEC:Baegegl,,1,,
TEC:Baeggar1,Autre-Eglise Gare,50.66386,4.918403,0,stoparea:TEC:Baeggar,,1,,
TEC:Baeggar2,Autre-Eglise Gare,50.663968,4.918362,0,stoparea:TEC:Baeggar,,1,,
TEC:Baegm501,Autre-Eglise Rue de la Mêlée 50,50.659461,4.909413,0,stoparea:TEC:Baegm50,,1,,
TEC:Baegm502,Autre-Eglise Rue de la Mêlée 50,50.659828,4.909799,0,stoparea:TEC:Baegm50,,1,,
TEC:Baegpon1,Autre-Eglise Pont,50.655266,4.898801,0,stoparea:TEC:Baegpon,,1,,
TEC:Baegpon2,Autre-Eglise Pont,50.655435,4.899312,0,stoparea:TEC:Baegpon,,1,,
TEC:Baegpon3,Autre-Eglise Pont,50.654903,4.897694,0,stoparea:TEC:Baegpon,,1,,
TEC:Baisbar1,Aische-en-Refail Baraque,50.598666,4.823782,0,stoparea:TEC:Baisbar,,1,,
TEC:Balsbeg1,Alsemberg Begraafplaats van Vorst,50.755831,4.332145,0,stoparea:TEC:Balsbeg,,1,,
TEC:Balsbeg2,Alsemberg Begraafplaats van Vorst,50.756299,4.331804,0,stoparea:TEC:Balsbeg,,1,,
TEC:Balsnay1,Alsemberg Gensberg,50.746626,4.332407,0,stoparea:TEC:Balsnay,,1,,
TEC:Balsnay2,Alsemberg Gensberg,50.746518,4.332081,0,stoparea:TEC:Balsnay,,1,,
TEC:Balsnie1,Alsemberg Grootevelde,50.74953,4.333992,0,stoparea:TEC:Balsnie,,1,,
TEC:Balsnie2,Alsemberg Grootevelde,50.749584,4.333779,0,stoparea:TEC:Balsnie,,1,,
TEC:Balssvi1,Alsemberg Sint-Victor,50.741799,4.334465,0,stoparea:TEC:Balssvi,,1,,
TEC:Balssvi2,Alsemberg Sint-Victor,50.741682,4.334437,0,stoparea:TEC:Balssvi,,1,,
TEC:Balswin2,Alsemberg Winderickxplein,50.739696,4.337937,0,stoparea:TEC:Balswin,,1,,
TEC:Balswin3,Alsemberg Winderickxplein,50.739741,4.338121,0,stoparea:TEC:Balswin,,1,,
TEC:Balswsa1,Alsemberg Rondenbos,50.751625,4.333381,0,stoparea:TEC:Balswsa,,1,,
TEC:Balswsa2,Alsemberg Rondenbos,50.751606,4.333182,0,stoparea:TEC:Balswsa,,1,,
TEC:Balswwe1,Alsemberg De Meent,50.74356,4.331616,0,stoparea:TEC:Balswwe,,1,,
TEC:Balswwe2,Alsemberg De Meent,50.743102,4.331574,0,stoparea:TEC:Balswwe,,1,,
TEC:Barcast1,Archennes Ancienne Station,50.74782,4.69169,0,stoparea:TEC:Barcast,,1,,
TEC:Barcast2,Archennes Ancienne Station,50.747721,4.691632,0,stoparea:TEC:Barcast,,1,,
TEC:Barcbav1,Archennes Bavay,50.749939,4.68605,0,stoparea:TEC:Barcbav,,1,,
TEC:Barcbav2,Archennes Bavay,50.749849,4.685965,0,stoparea:TEC:Barcbav,,1,,
TEC:Barchez1,Archennes Hézidelle,50.75337,4.666985,0,stoparea:TEC:Barchez,,1,,
TEC:Barchez2,Archennes Hézidelle,50.753225,4.667083,0,stoparea:TEC:Barchez,,1,,
TEC:Barchoc1,Archennes Hocaille,50.751495,4.672244,0,stoparea:TEC:Barchoc,,1,,
TEC:Barchoc2,Archennes Hocaille,50.751387,4.672243,0,stoparea:TEC:Barchoc,,1,,
TEC:Barcpre1,Archennes Préval,50.751079,4.680106,0,stoparea:TEC:Barcpre,,1,,
TEC:Barcpre2,Archennes Préval,50.750908,4.680289,0,stoparea:TEC:Barcpre,,1,,
TEC:Barcsta1,Archennes Station,50.754423,4.662796,0,stoparea:TEC:Barcsta,,1,,
TEC:Barcsta2,Archennes Station,50.754315,4.662739,0,stoparea:TEC:Barcsta,,1,,
TEC:Barqbar1,Arquennes Bois d'Arpes,50.578479,4.295768,0,stoparea:TEC:Barqbar,,1,,
TEC:Barqbar2,Arquennes Bois d'Arpes,50.578525,4.296093,0,stoparea:TEC:Barqbar,,1,,
TEC:Barqbco1,Arquennes Bon Conseil,50.571342,4.283173,0,stoparea:TEC:Barqbco,,1,,
TEC:Barqbco2,Arquennes Bon Conseil,50.571558,4.284429,0,stoparea:TEC:Barqbco,,1,,
TEC:Barqhpe1,Arquennes Hameau Petit,50.572704,4.289269,0,stoparea:TEC:Barqhpe,,1,,
TEC:Barqhpe2,Arquennes Hameau Petit,50.572623,4.289453,0,stoparea:TEC:Barqhpe,,1,,
TEC:Barqhro1,Arquennes Hameau Roland,50.560838,4.278224,0,stoparea:TEC:Barqhro,,1,,
TEC:Barqhro2,Arquennes Hameau Roland,50.56144,4.2789,0,stoparea:TEC:Barqhro,,1,,
TEC:Barqhro4,Arquennes Hameau Roland,50.56143,4.277207,0,stoparea:TEC:Barqhro,,1,,
TEC:Barqpla1,Arquennes Place,50.567308,4.274683,0,stoparea:TEC:Barqpla,,1,,
TEC:Barqpla2,Arquennes Place,50.567263,4.27481,0,stoparea:TEC:Barqpla,,1,,
TEC:Barqpwa1,Arquennes Pont de Warchais,50.566127,4.282081,0,stoparea:TEC:Barqpwa,,1,,
TEC:Barqpwa2,Arquennes Pont de Warchais,50.565713,4.282026,0,stoparea:TEC:Barqpwa,,1,,
TEC:Barqres1,Arquennes Résidence,50.569708,4.285872,0,stoparea:TEC:Barqres,,1,,
TEC:Barqres2,Arquennes Résidence,50.569618,4.286056,0,stoparea:TEC:Barqres,,1,,
TEC:Bauddel1,Auderghem Métro Delta,50.818192,4.40447,0,stoparea:TEC:Bauddel,,1,,
TEC:Bauddel2,Auderghem Métro Delta,50.817446,4.405207,0,stoparea:TEC:Bauddel,,1,,
TEC:Baudhan1,Auderghem Hankar,50.821869,4.405509,0,stoparea:TEC:Baudhan,,1,,
TEC:Baudhan2,Auderghem Hankar,50.82177,4.405424,0,stoparea:TEC:Baudhan,,1,,
TEC:Baudhde1,Auderghem Herrmann-Debroux,50.812519,4.428104,0,stoparea:TEC:Baudhde,,1,,
TEC:Baudhde2,Auderghem Herrmann-Debroux,50.812285,4.429083,0,stoparea:TEC:Baudhde,,1,,
TEC:Baudsju1,Auderghem Saint-Julien,50.821086,4.408219,0,stoparea:TEC:Baudsju,,1,,
TEC:Baudsju2,Auderghem Saint-Julien,50.820591,4.409481,0,stoparea:TEC:Baudsju,,1,,
TEC:Baudsta2,Auderghem Rouge-Cloitre,50.811461,4.439539,0,stoparea:TEC:Baudsta,,1,,
TEC:Baudstr1,Auderghem Stratégie,50.824019,4.40087,0,stoparea:TEC:Baudstr,,1,,
TEC:Baudstr2,Auderghem Stratégie,50.8241,4.400486,0,stoparea:TEC:Baudstr,,1,,
TEC:Baudtri1,Auderghem Triomphe,50.817151,4.400226,0,stoparea:TEC:Baudtri,,1,,
TEC:Baudtri2,Auderghem Triomphe,50.817025,4.400567,0,stoparea:TEC:Baudtri,,1,,
TEC:Baudulb1,Auderghem Ulb Jardin Massart,50.81346,4.433427,0,stoparea:TEC:Baudulb,,1,,
TEC:Baudulb2,Auderghem Ulb Jardin Massart,50.813109,4.43415,0,stoparea:TEC:Baudulb,,1,,
TEC:Baudvdr1,Auderghem Van Drommen,50.819178,4.414816,0,stoparea:TEC:Baudvdr,,1,,
TEC:Baudvdr2,Auderghem Van Drommen,50.818827,4.41561,0,stoparea:TEC:Baudvdr,,1,,
TEC:Baudvdu1,Auderghem Val Duc,50.817566,4.420973,0,stoparea:TEC:Baudvdu,,1,,
TEC:Baudvdu2,Auderghem Val Duc,50.817674,4.419909,0,stoparea:TEC:Baudvdu,,1,,
TEC:Baudwav1,Auderghem Shopping,50.816845,4.424775,0,stoparea:TEC:Baudwav,,1,,
TEC:Baudwav2,Auderghem Shopping,50.815307,4.42571,0,stoparea:TEC:Baudwav,,1,,
TEC:Bbaldot1,Boignee Dottiats,50.504776,4.62194,0,stoparea:TEC:Bbaldot,,1,,
TEC:Bbaltba1,Balatre Trou de Balâtre,50.503373,4.626289,0,stoparea:TEC:Bbaltba,,1,,
TEC:Bbalvil1,Balatre Village,50.501139,4.639949,0,stoparea:TEC:Bbalvil,,1,,
TEC:Bbaualz1,Baulers Alzémont,50.607845,4.360512,0,stoparea:TEC:Bbaualz,,1,,
TEC:Bbaualz2,Baulers Alzémont,50.607746,4.360625,0,stoparea:TEC:Bbaualz,,1,,
TEC:Bbaubon1,Baulers Bonaparte,50.614153,4.341253,0,stoparea:TEC:Bbaubon,,1,,
TEC:Bbaubru1,Baulers Chaussée de Bruxelles,50.610313,4.336748,0,stoparea:TEC:Bbaubru,,1,,
TEC:Bbaubru2,Baulers Chaussée de Bruxelles,50.610178,4.336395,0,stoparea:TEC:Bbaubru,,1,,
TEC:Bbaucai1,Baulers Rue aux Cailloux,50.612016,4.359565,0,stoparea:TEC:Bbaucai,,1,,
TEC:Bbaucai2,Baulers Rue aux Cailloux,50.612008,4.360144,0,stoparea:TEC:Bbaucai,,1,,
TEC:Bbaucba1,Baulers Cité Baulers,50.606225,4.347827,0,stoparea:TEC:Bbaucba,,1,,
TEC:Bbaucba2,Baulers Cité Baulers,50.606271,4.348575,0,stoparea:TEC:Bbaucba,,1,,
TEC:Bbauegl1,Baulers Eglise,50.613247,4.352543,0,stoparea:TEC:Bbauegl,,1,,
TEC:Bbauegl2,Baulers Eglise,50.613319,4.352458,0,stoparea:TEC:Bbauegl,,1,,
TEC:Bbauham1,Baulers Hameau,50.610048,4.364595,0,stoparea:TEC:Bbauham,,1,,
TEC:Bbauham2,Baulers Hameau,50.609967,4.364722,0,stoparea:TEC:Bbauham,,1,,
TEC:Bbaulil1,Baulers Avenue des Lilas,50.605928,4.34558,0,stoparea:TEC:Bbaulil,,1,,
TEC:Bbaulil2,Baulers Avenue des Lilas,50.605767,4.345637,0,stoparea:TEC:Bbaulil,,1,,
TEC:Bbaulos1,Baulers Rue Lossignol,50.612599,4.346934,0,stoparea:TEC:Bbaulos,,1,,
TEC:Bbautri1,Baulers Trigodet,50.606802,4.352827,0,stoparea:TEC:Bbautri,,1,,
TEC:Bbautri2,Baulers Trigodet,50.606703,4.352983,0,stoparea:TEC:Bbautri,,1,,
TEC:Bbbksth1,Bierbeek Sint-Theresiakapel,50.800542,4.708749,0,stoparea:TEC:Bbbksth,,1,,
TEC:Bbbksth2,Bierbeek Sint-Theresiakapel,50.80118,4.708796,0,stoparea:TEC:Bbbksth,,1,,
TEC:Bbch4br1,Braine-le-Chateau Quatre Bras,50.682989,4.272218,0,stoparea:TEC:Bbch4br,,1,,
TEC:Bbch4br2,Braine-le-Chateau Quatre Bras,50.682872,4.272303,0,stoparea:TEC:Bbch4br,,1,,
TEC:Bbch4br3,Braine-le-Chateau Quatre Bras,50.684481,4.272229,0,stoparea:TEC:Bbch4br,,1,,
TEC:Bbch4br4,Braine-le-Chateau Quatre Bras,50.68352,4.272528,0,stoparea:TEC:Bbch4br,,1,,
TEC:Bbch4br5,Braine-le-Chateau Quatre Bras,50.682972,4.272996,0,stoparea:TEC:Bbch4br,,1,,
TEC:Bbch4br6,Braine-le-Chateau Quatre Bras,50.682208,4.272998,0,stoparea:TEC:Bbch4br,,1,,
TEC:Bbchboi1,Braine-le-Chateau Les Boignées,50.678244,4.300582,0,stoparea:TEC:Bbchboi,,1,,
TEC:Bbchcab1,Braine-le-Chateau Rue Cabiau,50.677965,4.274167,0,stoparea:TEC:Bbchcab,,1,,
TEC:Bbchcab2,Braine-le-Chateau Rue Cabiau,50.679332,4.274008,0,stoparea:TEC:Bbchcab,,1,,
TEC:Bbchcbl1,Braine-le-Chateau Cheval Blanc,50.691922,4.269143,0,stoparea:TEC:Bbchcbl,,1,,
TEC:Bbchcbl2,Braine-le-Chateau Cheval Blanc,50.690646,4.269415,0,stoparea:TEC:Bbchcbl,,1,,
TEC:Bbchdev1,Braine-le-Chateau Rue des Dévoués,50.67491,4.275191,0,stoparea:TEC:Bbchdev,,1,,
TEC:Bbchdev2,Braine-le-Chateau Rue des Dévoués,50.675018,4.275347,0,stoparea:TEC:Bbchdev,,1,,
TEC:Bbchdra1,Braine-le-Chateau Le Drabbe,50.68334,4.283905,0,stoparea:TEC:Bbchdra,,1,,
TEC:Bbchdra2,Braine-le-Chateau Le Drabbe,50.683071,4.284812,0,stoparea:TEC:Bbchdra,,1,,
TEC:Bbchgod1,Braine-le-Chateau Godeaux,50.681209,4.251832,0,stoparea:TEC:Bbchgod,,1,,
TEC:Bbchgod2,Braine-le-Chateau Godeaux,50.681146,4.252243,0,stoparea:TEC:Bbchgod,,1,,
TEC:Bbchm381,Braine-le-Chateau Maison 38,50.694951,4.268047,0,stoparea:TEC:Bbchm38,,1,,
TEC:Bbchm382,Braine-le-Chateau Maison 38,50.694466,4.268005,0,stoparea:TEC:Bbchm38,,1,,
TEC:Bbchmai1,Braine-le-Chateau La Maisonnée,50.666178,4.28354,0,stoparea:TEC:Bbchmai,,1,,
TEC:Bbchmai2,Braine-le-Chateau La Maisonnée,50.666133,4.284148,0,stoparea:TEC:Bbchmai,,1,,
TEC:Bbchmin1,Braine-le-Chateau Les Minous,50.670056,4.276799,0,stoparea:TEC:Bbchmin,,1,,
TEC:Bbchmin2,Braine-le-Chateau Les Minous,50.669598,4.277126,0,stoparea:TEC:Bbchmin,,1,,
TEC:Bbchndb1,Braine-le-Chateau Rue Notre Dame au Bois,50.680489,4.261116,0,stoparea:TEC:Bbchndb,,1,,
TEC:Bbchndb2,Braine-le-Chateau Rue Notre Dame au Bois,50.680291,4.260579,0,stoparea:TEC:Bbchndb,,1,,
TEC:Bbchpil1,Braine-le-Chateau Pilori,50.682473,4.267507,0,stoparea:TEC:Bbchpil,,1,,
TEC:Bbchpil2,Braine-le-Chateau Pilori,50.681806,4.265924,0,stoparea:TEC:Bbchpil,,1,,
TEC:Bbchrra2,Braine-le-Chateau Rue des Radoux,50.683945,4.276475,0,stoparea:TEC:Bbchrra,,1,,
TEC:Bbchrra3,Braine-le-Chateau Rue des Radoux,50.684008,4.276079,0,stoparea:TEC:Bbchrra,,1,,
TEC:Bbchsac1,Braine-le-Chateau Rue du Sacrement,50.669364,4.304202,0,stoparea:TEC:Bbchsac,,1,,
TEC:Bbchtry1,Wauthier-Braine Rue du Try,50.681803,4.297605,0,stoparea:TEC:Bbchtry,,1,,
TEC:Bbchume1,Braine-le-Chateau Usines Meurice,50.680357,4.245821,0,stoparea:TEC:Bbchume,,1,,
TEC:Bbchume2,Braine-le-Chateau Usines Meurice,50.680295,4.246628,0,stoparea:TEC:Bbchume,,1,,
TEC:Bbcoben1,Braine-le-Comte Barrière d'Enghien,50.617573,4.139044,0,stoparea:TEC:Bbcoben,,1,,
TEC:Bbcoben2,Braine-le-Comte Barrière d'Enghien,50.61795,4.138957,0,stoparea:TEC:Bbcoben,,1,,
TEC:Bbcocou1,Braine-le-Comte Coulette,50.611894,4.140696,0,stoparea:TEC:Bbcocou,,1,,
TEC:Bbcocou2,Braine-le-Comte Coulette,50.612119,4.140582,0,stoparea:TEC:Bbcocou,,1,,
