route_id,service_id,trip_id,trip_headsign,trip_long_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
TEC:BW:471,6074:TEC:BW:25,6074:TEC:BW:7113,Halle Station,,1,,,0,
TEC:BW:116,6074:TEC:BW:1,6074:TEC:BW:1061,Tubize Gare,,1,,,0,
TEC:BW:471,6074:TEC:BW:25,6074:TEC:BW:7102,Enghien Gare,,0,,,0,
TEC:BW:472,6074:TEC:BW:1,6074:TEC:BW:1064,Tubize Gare,,1,,,0,
TEC:BW:472,6074:TEC:BW:1,6074:TEC:BW:1066,Tubize Gare,,1,,,0,
TEC:BW:472,6074:TEC:BW:1,6074:TEC:BW:1062,Tubize Bloc Scolaire,,1,,,0,
TEC:BW:472,6074:TEC:BW:1,6074:TEC:BW:1063,Enghien Gare,,0,,,0,
TEC:BW:472,6074:TEC:BW:1,6074:TEC:BW:1065,Mark Bassin de Natation/Zwembad,,0,,,0,
TEC:BW:471,6074:TEC:BW:25,6074:TEC:BW:7112,Enghien Gare,,0,,,0,
TEC:BW:471,6074:TEC:BW:25,6074:TEC:BW:7114,Enghien Gare,,0,,,0,
TEC:BW:472,6074:TEC:BW:13,6074:TEC:BW:5331,Mark Bassin de Natation/Zwembad,,0,,,0,
TEC:BW:472,6074:TEC:BW:13,6074:TEC:BW:5329,Enghien Gare,,0,,,0,
TEC:BW:472,6074:TEC:BW:13,6074:TEC:BW:5328,Tubize Bloc Scolaire,,1,,,0,
TEC:BW:116,6074:TEC:BW:13,6074:TEC:BW:5327,Tubize Gare,,1,,,0,
TEC:BW:116,6074:TEC:BW:13,6074:TEC:BW:5333,Braine-le-Comte Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:1,6074:TEC:BW:1067,Braine-le-Comte Gare,,0,,,0,
TEC:BW:472,6074:TEC:BW:13,6074:TEC:BW:5330,Tubize Gare,,1,,,0,
TEC:BW:472,6074:TEC:BW:13,6074:TEC:BW:5332,Tubize Gare,,1,,,0,
TEC:BW:472,6074:TEC:BW:26,6074:TEC:BW:9155,Enghien Gare,,0,,,0,
TEC:BW:472,6074:TEC:BW:26,6074:TEC:BW:9157,Rebecq Gare,,1,,,0,
TEC:BW:472,6074:TEC:BW:26,6074:TEC:BW:9158,Bierghes Rue de la Station,,0,,,0,
TEC:BW:116,6074:TEC:BW:26,6074:TEC:BW:9153,Tubize Gare,,1,,,0,
TEC:BW:472,6074:TEC:BW:26,6074:TEC:BW:9156,Tubize Gare,,1,,,0,
TEC:BW:472,6074:TEC:BW:12,6074:TEC:BW:4063,Tubize Bloc Scolaire,,1,,,0,
TEC:BW:472,6074:TEC:BW:12,6074:TEC:BW:4066,Rebecq Gare,,1,,,0,
TEC:BW:472,6074:TEC:BW:12,6074:TEC:BW:4067,Bierghes Rue de la Station,,0,,,0,
TEC:BW:472,6074:TEC:BW:12,6074:TEC:BW:4064,Enghien Gare,,0,,,0,
TEC:BW:472,6074:TEC:BW:12,6074:TEC:BW:4065,Tubize Gare,,1,,,0,
TEC:BW:116,6074:TEC:BW:12,6074:TEC:BW:4062,Tubize Gare,,1,,,0,
TEC:BW:472,6074:TEC:BW:26,6074:TEC:BW:9154,Tubize Bloc Scolaire,,1,,,0,
TEC:BW:471,6074:TEC:BW:25,6074:TEC:BW:7109,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:25,6074:TEC:BW:7108,Enghien Gare,,0,,,0,
TEC:BW:471,6074:TEC:BW:25,6074:TEC:BW:7107,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:25,6074:TEC:BW:7106,Enghien Gare,,0,,,0,
TEC:BW:471,6074:TEC:BW:25,6074:TEC:BW:7105,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:25,6074:TEC:BW:7104,Enghien Gare,,0,,,0,
TEC:BW:471,6074:TEC:BW:25,6074:TEC:BW:7103,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:25,6074:TEC:BW:7101,Halle Station,,1,,,0,
TEC:BW:472,6074:TEC:BW:24,6074:TEC:BW:6822,Enghien Gare,,0,,,0,
TEC:BW:471,6074:TEC:BW:24,6074:TEC:BW:6830,Enghien Gare,,0,,,0,
TEC:BW:471,6074:TEC:BW:24,6074:TEC:BW:6832,Enghien Gare,,0,,,0,
TEC:BW:472,6074:TEC:BW:24,6074:TEC:BW:6821,Tubize Gare,,1,,,0,
TEC:BW:472,6074:TEC:BW:24,6074:TEC:BW:6833,Tubize Gare,,1,,,0,
TEC:BW:471,6074:TEC:BW:24,6074:TEC:BW:6820,Enghien Gare,,0,,,0,
TEC:BW:472,6074:TEC:BW:24,6074:TEC:BW:6834,Enghien Gare,,0,,,0,
TEC:BW:472,6074:TEC:BW:24,6074:TEC:BW:6827,Tubize Gare,,1,,,0,
TEC:BW:471,6074:TEC:BW:24,6074:TEC:BW:6826,Enghien Gare,,0,,,0,
TEC:BW:471,6074:TEC:BW:24,6074:TEC:BW:6825,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:24,6074:TEC:BW:6836,Enghien Gare,,0,,,0,
TEC:BW:471,6074:TEC:BW:24,6074:TEC:BW:6829,Halle Station,,1,,,0,
TEC:BW:472,6074:TEC:BW:24,6074:TEC:BW:6828,Enghien Gare,,0,,,0,
TEC:BW:471,6074:TEC:BW:24,6074:TEC:BW:6823,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:24,6074:TEC:BW:6835,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:24,6074:TEC:BW:6824,Enghien Gare,,0,,,0,
TEC:BW:471,6074:TEC:BW:24,6074:TEC:BW:6831,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:24,6074:TEC:BW:6819,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:25,6074:TEC:BW:7110,Enghien Gare,,0,,,0,
TEC:BW:471,6074:TEC:BW:25,6074:TEC:BW:7111,Halle Station,,1,,,0,
TEC:BW:116,6074:TEC:BW:27,6074:TEC:BW:10477,Tubize Gare,,1,,,0,
TEC:BW:116,6074:TEC:BW:27,6074:TEC:BW:10472,Braine-le-Comte Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:27,6074:TEC:BW:10474,Halle Station,,1,,,0,
TEC:BW:116,6074:TEC:BW:27,6074:TEC:BW:10476,Soignies Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:27,6074:TEC:BW:10475,Tubize Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:27,6074:TEC:BW:10478,Braine-le-Comte Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:27,6074:TEC:BW:10479,Tubize Gare,,1,,,0,
TEC:BW:116,6074:TEC:BW:27,6074:TEC:BW:10473,Tubize Gare,,1,,,0,
TEC:BW:116,6074:TEC:BW:27,6074:TEC:BW:10399,Tubize Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:27,6074:TEC:BW:10395,Tubize Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:27,6074:TEC:BW:10394,Tubize Gare,,1,,,0,
TEC:BW:116,6074:TEC:BW:27,6074:TEC:BW:10396,Braine-le-Comte Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:27,6074:TEC:BW:10400,Braine-le-Comte Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:27,6074:TEC:BW:10398,Halle Station,,1,,,0,
TEC:BW:116,6074:TEC:BW:27,6074:TEC:BW:10397,Tubize Gare,,1,,,0,
TEC:BW:116,6074:TEC:BW:26,6074:TEC:BW:9177,Halle Station,,1,,,0,
TEC:BW:116,6074:TEC:BW:12,6074:TEC:BW:4084,Braine-le-Comte Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:12,6074:TEC:BW:4089,Tubize Gare,,1,,,0,
TEC:BW:116,6074:TEC:BW:12,6074:TEC:BW:4088,Soignies Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:12,6074:TEC:BW:4087,Tubize Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:12,6074:TEC:BW:4086,Halle Station,,1,,,0,
TEC:BW:116,6074:TEC:BW:12,6074:TEC:BW:4085,Tubize Gare,,1,,,0,
TEC:BW:116,6074:TEC:BW:12,6074:TEC:BW:4090,Tubize Gare,,1,,,0,
TEC:BW:116,6074:TEC:BW:12,6074:TEC:BW:4091,Braine-le-Comte Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:1,6074:TEC:BW:702,Halle Station,,1,,,0,
TEC:BW:116,6074:TEC:BW:1,6074:TEC:BW:705,Tubize Gare,,1,,,0,
TEC:BW:116,6074:TEC:BW:1,6074:TEC:BW:701,Tubize Gare,,1,,,0,
TEC:BW:116,6074:TEC:BW:1,6074:TEC:BW:700,Braine-le-Comte Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:1,6074:TEC:BW:704,Soignies Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:1,6074:TEC:BW:703,Tubize Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:1,6074:TEC:BW:706,Rebecq Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:26,6074:TEC:BW:9180,Tubize Gare,,1,,,0,
TEC:BW:116,6074:TEC:BW:26,6074:TEC:BW:9181,Tubize Gare,,1,,,0,
TEC:BW:116,6074:TEC:BW:26,6074:TEC:BW:9182,Braine-le-Comte Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:26,6074:TEC:BW:9178,Tubize Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:13,6074:TEC:BW:4966,Braine-le-Comte Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:13,6074:TEC:BW:4969,Tubize Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:13,6074:TEC:BW:4967,Tubize Gare,,1,,,0,
TEC:BW:116,6074:TEC:BW:13,6074:TEC:BW:4968,Halle Station,,1,,,0,
TEC:BW:116,6074:TEC:BW:13,6074:TEC:BW:4970,Soignies Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:13,6074:TEC:BW:4971,Tubize Gare,,1,,,0,
TEC:BW:116,6074:TEC:BW:13,6074:TEC:BW:4972,Rebecq Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:26,6074:TEC:BW:9179,Soignies Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:26,6074:TEC:BW:9175,Braine-le-Comte Gare,,0,,,0,
TEC:BW:116,6074:TEC:BW:26,6074:TEC:BW:9176,Tubize Gare,,1,,,0,
TEC:BW:471,6074:TEC:BW:33,6074:TEC:BW:10401,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:33,6074:TEC:BW:10403,Enghien Gare,,0,,,0,
TEC:BW:471,6074:TEC:BW:33,6074:TEC:BW:10404,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:33,6074:TEC:BW:10405,Petit-Enghien Carrefour,,0,,,0,
TEC:BW:471,6074:TEC:BW:26,6074:TEC:BW:7344,Petit-Enghien Carrefour,,0,,,0,
TEC:BW:116,6074:TEC:BW:13,6074:TEC:BW:4977,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:13,6074:TEC:BW:4979,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:13,6074:TEC:BW:4973,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:13,6074:TEC:BW:4974,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:13,6074:TEC:BW:4978,Enghien Gare,,0,,,0,
TEC:BW:472,6074:TEC:BW:13,6074:TEC:BW:4975,Rebecq Gare,,1,,,0,
TEC:BW:472,6074:TEC:BW:13,6074:TEC:BW:4976,Mark Bassin de Natation/Zwembad,,0,,,0,
TEC:BW:471,6074:TEC:BW:13,6074:TEC:BW:4980,Enghien Gare,,0,,,0,
TEC:BW:471,6074:TEC:BW:38,6074:TEC:BW:10410,Petit-Enghien Carrefour,,0,,,0,
TEC:BW:471,6074:TEC:BW:38,6074:TEC:BW:10411,Petit-Enghien Carrefour,,0,,,0,
TEC:BW:471,6074:TEC:BW:38,6074:TEC:BW:10409,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:38,6074:TEC:BW:10408,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:38,6074:TEC:BW:10407,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:33,6074:TEC:BW:10402,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:12,6074:TEC:BW:2252,Petit-Enghien Carrefour,,0,,,0,
TEC:BW:472,6074:TEC:BW:26,6074:TEC:BW:7338,Rebecq Gare,,1,,,0,
TEC:BW:471,6074:TEC:BW:26,6074:TEC:BW:7336,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:1,6074:TEC:BW:708,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:1,6074:TEC:BW:707,Halle Station,,1,,,0,
TEC:BW:116,6074:TEC:BW:1,6074:TEC:BW:711,Halle Station,,1,,,0,
TEC:BW:472,6074:TEC:BW:1,6074:TEC:BW:710,Mark Bassin de Natation/Zwembad,,0,,,0,
TEC:BW:471,6074:TEC:BW:1,6074:TEC:BW:713,Halle Station,,1,,,0,
TEC:BW:471,6074:TEC:BW:1,6074:TEC:BW:714,Enghien Gare,,0,,,0,
TEC:BW:471,6074:TEC:BW:1,6074:TEC:BW:712,Enghien Gare,,0,,,0,
TEC:BW:471,6074:TEC:BW:12,6074:TEC:BW:2251,Halle Station,,1,,,0,
TEC:BW:472,6074:TEC:BW:12,6074:TEC:BW:2250,Mark Bassin de Natation/Zwembad,,0,,,0,
TEC:BW:471,6074:TEC:BW:26,6074:TEC:BW:7337,Halle Station,,1,,,0,
